dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,dialect_id,ipa_converted_no_tone,ipa_converted_with_tone
Taiyuan,1,有一回,有一次,,iəu iəʔ tsˈɿ,iəu53 iəʔ2 tsˈɿ45,TY,iəuiəʔtsʰɹ̩,iəu53iəʔ2tsʰɹ̩45
Taiyuan,2,北风跟太阳在那儿争论谁的本事大,北风 和 阳 婆在兀儿家争谁的本事 大,,pei fəŋ xuɤ iɒ̃ pˈɤ tsai var tɕia tsəŋ suei təʔ pəŋ sɿ ta,pei53 fəŋ11 xuɤ11 iɒ̃11 pˈɤ11 tsai45 var53 tɕia11 tsəŋ11 suei11 təʔ pəŋ53 sɿ45 ta45,TY,peifəŋxuɤiɒ̃pʰɤtsaivartɕiatsəŋsueitəʔpəŋsɹ̩ta,pei53fəŋ11xuɤ11iɒ̃11pʰɤ11tsai45var53tɕia11tsəŋ11suei11təʔpəŋ53sɹ̩45ta45
Taiyuan,3,争来争去就是分不出高低来,争来争去就是分不出高低来,,tsəŋ lai tsəŋ tɕˈy tɕiəu sɿ fəŋ pəʔ tsˈuəʔ kɤ kau ti lai,tsəŋ11 lai11 tsəŋ11 tɕˈy45 tɕiəu45 sɿ53 fəŋ11 pəʔ2 tsˈuəʔ2 kɤ kau11 ti11 lai11,TY,tsəŋlaitsəŋtɕʰytɕiəusɹ̩fəŋpəʔtsʰuəʔkɤkautilai,tsəŋ11lai11tsəŋ11tɕʰy45tɕiəu45sɹ̩53fəŋ11pəʔ2tsʰuəʔ2kɤkau11ti11lai11
Taiyuan,4,这时候路上来了个走道儿的,□时候路上来咾个走路的,,tsai sɿ xəu ləu sɒ̃ lai lau kɤ tsəu ləu təʔ,tsai53 sɿ11 xəu45 ləu45 sɒ̃53 lai11 lau11 kɤ tsəu45 ləu45 təʔ,TY,tsaisɹ̩xəuləusɒ̃lailaukɤtsəuləutəʔ,tsai53sɹ̩11xəu45ləu45sɒ̃53lai11lau11kɤtsəu45ləu45təʔ
Taiyuan,5,他身上穿着件厚大衣,他身上穿咾件厚大氅,,tˈa səŋ sɒ̃ tsˈuæ̃ lau tɕie xəu ta tsˈɒ̃,tˈa11 səŋ11 sɒ̃45 tsˈuæ̃11 lau53 tɕie45 xəu45 ta45 tsˈɒ̃53,TY,tʰasəŋsɒ̃tsʰuæ̃lautɕiexəutatsʰɒ̃,tʰa11səŋ11sɒ̃45tsʰuæ̃11lau53tɕie45xəu45ta45tsʰɒ̃53
Taiyuan,6,他们俩就说好了,他们俩就说好咧,,tˈa məʔ lia tɕiəu suaʔ xau lie,tˈa11 məʔ lia53 tɕiəu45 suaʔ2 xau53 lie11,TY,tʰaməʔliatɕiəusuaʔxaulie,tʰa11məʔlia53tɕiəu45suaʔ2xau53lie11
Taiyuan,7,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫𠰻走路的脱下他的厚大氅,,suei nəŋ ɕie tɕiau vai tsəu ləu təʔ tˈuaʔ xa lai tˈa təʔ xəu ta tsˈɒ̃,suei11 nəŋ11 ɕie11 tɕiau45 vai53 tsəu53 ləu45 təʔ tˈuaʔ2 xa45 lai53 tˈa11 təʔ xəu45 ta45 tsˈɒ̃53,TY,sueinəŋɕietɕiauvaitsəuləutəʔtʰuaʔxalaitʰatəʔxəutatsʰɒ̃,suei11nəŋ11ɕie11tɕiau45vai53tsəu53ləu45təʔtʰuaʔ2xa45lai53tʰa11təʔxəu45ta45tsʰɒ̃53
Taiyuan,8,就算谁的本事大,就算谁的本事大,,tɕiəu suæ̃ suei təʔ pəŋ sɿ ta,tɕiəu45 suæ̃45 suei11 təʔ pəŋ11 sɿ45 ta45,TY,tɕiəusuæ̃sueitəʔpəŋsɹ̩ta,tɕiəu45suæ̃45suei11təʔpəŋ11sɹ̩45ta45
Taiyuan,9,北风就使劲儿地刮起来了,北风就使劲儿地刮开咧,,pei fəŋ tɕiəu sɿ tɕiəŋr təʔ kuaʔ kˈai lie,pei53 fəŋ11 tɕiəu45 sɿ53 tɕiəŋr45 təʔ kuaʔ2 kˈai11 lie11,TY,peifəŋtɕiəusɹ̩tɕiəŋrtəʔkuaʔkʰailie,pei53fəŋ11tɕiəu45sɹ̩53tɕiəŋr45təʔkuaʔ2kʰai11lie11
Taiyuan,10,不过他越是刮得厉害,不过他刮得越厉害,,pəʔ kuɤ tˈa kuaʔ tiəʔ yəʔ li xai,pəʔ2 kuɤ45 tˈa11 kuaʔ2 tiəʔ yəʔ2 li45 xai53,TY,pəʔkuɤtʰakuaʔtiəʔyəʔlixai,pəʔ2kuɤ45tʰa11kuaʔ2tiəʔyəʔ2li45xai53
Taiyuan,11,那个走道儿的把大衣裹得越紧,𠰻走路大把大氅裹得越紧,,vai tsəu ləu təʔ pa ta tsˈɒ̃ kuɤ tiəʔ yəʔ tɕiəŋ,vai53 tsəu53 ləu45 təʔ pa53 ta45 tsˈɒ̃53 kuɤ53 tiəʔ yəʔ2 tɕiəŋ53,TY,vaitsəuləutəʔpatatsʰɒ̃kuɤtiəʔyəʔtɕiəŋ,vai53tsəu53ləu45təʔpa53ta45tsʰɒ̃53kuɤ53tiəʔyəʔ2tɕiəŋ53
Taiyuan,12,后来北风没法儿了,后来北风没法儿咧,,xəu lai pei fəŋ məʔ far lie,xəu45 lai53 pei53 fəŋ11 məʔ2 far11 lie11,TY,xəulaipeifəŋməʔfarlie,xəu45lai53pei53fəŋ11məʔ2far11lie11
Taiyuan,13,只好就算了,只好就算咧,,tsɿ xau tɕiəu suæ̃ lie,tsɿ11 xau53 tɕiəu45 suæ̃45 lie53,TY,tsɹ̩xautɕiəusuæ̃lie,tsɹ̩11xau53tɕiəu45suæ̃45lie53
Taiyuan,14,过了一会儿,过咾一阵阵,,kuɤ lau iəʔ tsəŋ tsəŋ,kuɤ45 lau53 iəʔ2 tsəŋ45 tsəŋ4553,TY,kuɤlauiəʔtsəŋtsəŋ,kuɤ45lau53iəʔ2tsəŋ45tsəŋ4553
Taiyuan,15,太阳出来了,阳婆出来咧,,iɒ̃ pˈɤ tsˈuəʔ lai lie,iɒ̃11 pˈɤ11 tsˈuəʔ2 lai53 lie11,TY,iɒ̃pʰɤtsʰuəʔlailie,iɒ̃11pʰɤ11tsʰuəʔ2lai53lie11
Taiyuan,16,他火辣辣地一晒,他直在在地一晒上,,tˈa tsəʔ tsai tsai ti iəʔ sai xɒ̃,tˈa11 tsəʔ2 tsai45 tsai45 ti iəʔ2 sai45 xɒ̃53,TY,tʰatsəʔtsaitsaitiiəʔsaixɒ̃,tʰa11tsəʔ2tsai45tsai45tiiəʔ2sai45xɒ̃53
Taiyuan,17,那个走道儿的马上就把那件厚大衣脱下来了,𠰻走路的立马就把大氅脱下来咧,,vai tsəu ləu təʔ liəʔ ma tɕiəu pa ta tsˈɒ̃ tˈuaʔ xa lai lie,vai53 tsəu53 ləu45 təʔ liəʔ245 ma53 tɕiəu45 pa53 ta45 tsˈɒ̃53 tˈuaʔ2 xa45 lai53 lie11,TY,vaitsəuləutəʔliəʔmatɕiəupatatsʰɒ̃tʰuaʔxalailie,vai53tsəu53ləu45təʔliəʔ245ma53tɕiəu45pa53ta45tsʰɒ̃53tʰuaʔ2xa45lai53lie11
Taiyuan,18,这下北风只好承认,这下北风只好承认,,tsəʔ xa pei fəŋ tsɿ xau tsˈəŋ zəŋ,tsəʔ2 xa45 pei53 fəŋ11 tsɿ11 xau53 tsˈəŋ11 zəŋ45,TY,tsəʔxapeifəŋtsɹ̩xautsʰəŋzəŋ,tsəʔ2xa45pei53fəŋ11tsɹ̩11xau53tsʰəŋ11zəŋ45
Taiyuan,19,他们俩当中还是太阳的本事大,他们俩还是伢阳婆的本事大,,tˈa məʔ lia kɤ xai sɿ nia iɒ̃ pˈɤ təʔ pəŋ sɿ ta,tˈa11 məʔ lia53 kɤ45 xai11 sɿ45 nia11 iɒ̃11 pˈɤ11 təʔ pəŋ53 sɿ45 ta45,TY,tʰaməʔliakɤxaisɹ̩niaiɒ̃pʰɤtəʔpəŋsɹ̩ta,tʰa11məʔlia53kɤ45xai11sɹ̩45nia11iɒ̃11pʰɤ11təʔpəŋ53sɹ̩45ta45
